name,symbol,country,industry,Market Capitalization,Total Revenue ,Shares Outstanding (mm)
Simplex Holdings Inc. ,4373.TSE,Japan,IT Consulting and Other Services,1050,251,58
Duskin Co. Ltd. ,4665.TSE,Japan,Diversified Support Services,1048,1198,48
Okinawa Cellular Telephone Company ,9436.TSE,Japan,Wireless Telecommunication Services,1046,534,49
Nippon Soda Co. Ltd. ,4041.TSE,Japan,Diversified Chemicals,1044,1164,28
UACJ Corporation ,5741.TSE,Japan,Aluminum,1043,6410,48
Fuji Co. Ltd. ,8278.TSE,Japan,Food Retail,1042,5659,87
Sansan Inc. ,4443.TSE,Japan,Application Software,1042,183,126
Fitipower Integrated Technology Inc. ,4961.TW,Taiwan,Semiconductors,1041,533,121
Kissei Pharmaceutical Co. Ltd. ,4547.TSE,Japan,Pharmaceuticals,1040,488,46
Eternal Materials Co. Ltd. ,1717.TW,Taiwan,Commodity Chemicals,1037,1408,1178
PARADISE Co. Ltd. ,034230.KQ,South Korea,Casinos and Gaming,1037,645,86
Infocom Corporation ,4348.TSE,Japan,Interactive Media and Services,1036,510,55
Hugel Inc. ,145020.KQ,South Korea,Biotechnology,1035,229,11
Sitronix Technology Corporation ,8016.TW,Taiwan,Semiconductors,1034,510,120
Far Eastern Department Stores Ltd. ,2903.TW,Taiwan,Broadline Retail,1033,1193,1409
NTN Corporation ,6472.TSE,Japan,Industrial Machinery and Supplies and Components,1031,5548,531
Kumagai Gumi Co.Ltd. ,1861.TSE,Japan,Construction and Engineering,1031,2785,43
HannStar Display Corporation ,6116.TW,Taiwan,Electronic Components,1030,439,2859
ITEQ Corporation ,6213.TW,Taiwan,Electronic Components,1028,799,363
Round One Corporation ,4680.TSE,Japan,Leisure Facilities,1028,1017,269
Alexander Marine Co. Ltd. ,8478.TW,Taiwan,Leisure Products,1027,182,88
SD Biosensor Inc ,137310.KO,South Korea,Health Care Supplies,1027,830,122
Hyundai Department Store Co. Ltd. ,069960.KO,South Korea,Broadline Retail,1026,3813,22
ENNOSTAR Inc. ,3714.TW,Taiwan,Semiconductors,1025,742,752
Ain Holdings Inc. ,9627.TSE,Japan,Drug Retail,1023,2617,35
The San-in Godo BankLtd. ,8381.TSE,Japan,Regional Banks,1019,689,153
JSL Construction & Development Co. Ltd. ,2540.TW,Taiwan,Real Estate Development,1017,196,392
Ennoconn Corporation ,6414.TW,Taiwan,Technology Hardware Storage and Peripherals,1014,3771,124
C.Uyemura & Co.Ltd. ,4966.TSE,Japan,Specialty Chemicals,1013,575,16
Shiny Chemical Industrial Co. Ltd. ,1773.TW,Taiwan,Specialty Chemicals,1013,323,250
People & Technology Inc. ,137400.KQ,South Korea,Industrial Machinery and Supplies and Components,1011,327,22
Ichigo Inc. ,2337.TSE,Japan,Real Estate Operating Companies,1011,441,453
Okasan Securities Group Inc. ,8609.TSE,Japan,Investment Banking and Brokerage,1010,486,205
The Monogatari Corporation ,3097.TSE,Japan,Restaurants,1009,638,36
Taikisha Ltd. ,1979.TSE,Japan,Construction and Engineering,1009,1602,33
ARCS Company Limited ,9948.TSE,Japan,Food Retail,1006,4086,55
Chung Hung Steel Corporation ,2014.TW,Taiwan,Steel,1005,1133,1436
Mitsubishi Logisnext Co. Ltd. ,7105.TSE,Japan,Construction Machinery and Heavy Transportation Equipment,1005,4470,107
YUNSUNG F&C Co.Ltd ,372170.KQ,South Korea,Industrial Machinery and Supplies and Components,1005,170,8
Komeri Co.Ltd. ,8218.TSE,Japan,Home Improvement Retail,1004,2600,48
Sercomm Corporation ,5388.TW,Taiwan,Communications Equipment,999,2182,262
COVER Corporation ,5253.TSE,Japan,Movies and Entertainment,997,154,60
AcBel Polytech Inc. ,6282.TW,Taiwan,Electrical Components and Equipment,996,726,734
Nishimatsu Construction Co. Ltd. ,1820.TSE,Japan,Construction and Engineering,995,2450,40
Primax Electronics Ltd. ,4915.TW,Taiwan,Electronic Manufacturing Services,995,2304,463
LX Semicon Co. Ltd. ,108320.KO,South Korea,Semiconductors,995,1451,16
Topco Scientific Co.Ltd. ,5434.TW,Taiwan,Semiconductor Materials and Equipment,993,1659,189
SK Gas Co. Ltd. ,018670.KO,South Korea,Oil and Gas Storage and Transportation,993,5646,9
Cosmo Chemical Co. Ltd. ,005420.KO,South Korea,Commodity Chemicals,992,650,35
SAN-A CO.LTD. ,2659.TSE,Japan,Food Retail,992,1560,31
SungEel HiTech Co. Ltd. ,365340.KQ,South Korea,Environmental and Facilities Services,991,220,12
Xintec Inc. ,3374.TWO,Taiwan,Semiconductors,990,213,271
OUTSOURCING Inc. ,2427.TSE,Japan,Human Resource and Employment Services,987,5344,126
EDION Corporation ,2730.TSE,Japan,Computer and Electronics Retail,987,4957,98
Cheng Loong Corporation ,1904.TW,Taiwan,Paper and Plastic Packaging Products and Materials,986,1337,1108
Nankang Rubber Tire Corp.Ltd. ,2101.TW,Taiwan,Tires and Rubber,985,228,834
Capital Securities Corporation ,6005.TW,Taiwan,Investment Banking and Brokerage,984,294,2171
Monex Group Inc. ,8698.TSE,Japan,Investment Banking and Brokerage,984,546,256
DGB Financial Group Co. Ltd. ,139130.KO,South Korea,Regional Banks,982,2571,169
CTCI Corporation ,9933.TW,Taiwan,Construction and Engineering,981,3080,801
HD Hyundai Construction Equipment Co.Ltd. ,267270.KO,South Korea,Construction Machinery and Heavy Transportation Equipment,981,2854,18
ARE Holdings Inc. ,5857.TSE,Japan,Precious Metals and Minerals,980,2070,77
H.U. Group Holdings Inc. ,4544.TSE,Japan,Health Care Services,979,1744,57
Greatek Electronics Inc. ,2441.TW,Taiwan,Semiconductors,979,420,569
Kolon Industries Inc. ,120110.KO,South Korea,Commodity Chemicals,978,4007,30
Kumho Tire Co. Inc. ,073240.KO,South Korea,Tires and Rubber,976,2983,287
HannStar Board Corporation ,5469.TW,Taiwan,Electronic Components,975,1444,528
Doosan Fuel Cell Co. Ltd. ,336260.KO,South Korea,Electrical Components and Equipment,974,217,66
Starts Corporation Inc. ,8850.TSE,Japan,Diversified Real Estate Activities,974,1650,50
Menicon Co. Ltd. ,7780.TSE,Japan,Health Care Supplies,971,773,76
DAEDUCK ELECTRONICS Co. Ltd. ,353200.KO,South Korea,Electronic Components,971,839,52
ISC Co. Ltd. ,095340.KQ,South Korea,Semiconductor Materials and Equipment,969,125,17
Hitachi Zosen Corporation ,7004.TSE,Japan,Industrial Machinery and Supplies and Components,969,3450,169
Elecom Co. Ltd. ,6750.TSE,Japan,Technology Hardware Storage and Peripherals,969,718,84
Supreme Electronics Co. Ltd. ,8112.TW,Taiwan,Technology Distributors,968,4358,566
Transcend Information Inc. ,2451.TW,Taiwan,Technology Hardware Storage and Peripherals,967,345,429
Tong Hsing Electronic Industries Ltd. ,6271.TW,Taiwan,Electronic Components,967,409,209
HITEJINRO Co. Ltd. ,000080.KO,South Korea,Distillers and Vintners,966,1907,70
North Pacific BankLtd. ,8524.TSE,Japan,Regional Banks,964,827,385
Chunbo Co. Ltd. ,278280.KQ,South Korea,Specialty Chemicals,959,200,10
Belc CO. LTD. ,9974.TSE,Japan,Food Retail,959,2288,21
Heiwa Real Estate Co. Ltd. ,8803.TSE,Japan,Diversified Real Estate Activities,959,292,36
Taiyo Holdings Co. Ltd. ,4626.TSE,Japan,Specialty Chemicals,958,660,56
Daewoong pharmaceutical Co.Ltd ,069620.KO,South Korea,Pharmaceuticals,958,1012,12
Chang Wah Technology Co. Ltd. ,6548.TWO,Taiwan,Semiconductor Materials and Equipment,956,412,927
Shochiku Co. Ltd. ,9601.TSE,Japan,Movies and Entertainment,956,592,14
Tsubakimoto Chain Co. ,6371.TSE,Japan,Industrial Machinery and Supplies and Components,956,1768,37
Nitto Kogyo Corporation ,6651.TSE,Japan,Electrical Components and Equipment,955,1041,38
Anritsu Corporation ,6754.TSE,Japan,Electronic Equipment and Instruments,953,743,132
PharmaResearch Co. Ltd. ,214450.KQ,South Korea,Biotechnology,952,169,10
Riken Keiki Co. Ltd. ,7734.TSE,Japan,Electronic Equipment and Instruments,951,316,23
The Hyakugo Bank Ltd. ,8368.TSE,Japan,Regional Banks,951,670,254
Tokyo Kiraboshi Financial Group Inc. ,7173.TSE,Japan,Regional Banks,951,843,30
YONEX Co. Ltd. ,7906.TSE,Japan,Leisure Products,948,770,87
Towa Pharmaceutical Co. Ltd. ,4553.TSE,Japan,Pharmaceuticals,946,1508,49
Evergreen International Storage & Transport Corporation ,2607.TW,Taiwan,Marine Ports and Services,946,544,1067
JUSUNG ENGINEERING Co.Ltd. ,036930.KQ,South Korea,Semiconductor Materials and Equipment,946,237,48
Gudeng Precision Industrial Co. Ltd. ,3680.TWO,Taiwan,Semiconductor Materials and Equipment,944,155,88
Juroku Financial GroupInc. ,7380.TSE,Japan,Regional Banks,943,751,36
GungHo Online Entertainment Inc. ,3765.TSE,Japan,Interactive Home Entertainment,943,875,60
Taiwan Hon Chuan Enterprise Co. Ltd. ,9939.TW,Taiwan,Metal Glass and Plastic Containers,943,828,288
TCC Steel Corp. ,002710.KO,South Korea,Steel,940,519,26
Taiwan Cogeneration Corporation ,8926.TW,Taiwan,Independent Power Producers and Energy Traders,938,172,730
DTS Corporation ,9682.TSE,Japan,IT Consulting and Other Services,938,748,43
Hokkaido Electric Power Company Incorporated ,9509.TSE,Japan,Electric Utilities,935,6506,205
The Nisshin OilliO GroupLtd. ,2602.TSE,Japan,Packaged Foods and Meats,933,3784,32
Coretronic Corporation ,5371.TWO,Taiwan,Electronic Equipment and Instruments,933,1389,391
TXC Corporation ,3042.TW,Taiwan,Electronic Components,931,358,310
Yieh Phui Enterprise Co. Ltd. ,2023.TW,Taiwan,Steel,931,2359,1966
Center Laboratories Inc. ,4123.TWO,Taiwan,Pharmaceuticals,931,34,654
Heiwado Co.Ltd. ,8276.TSE,Japan,Food Retail,928,3036,52
United Super Markets Holdings Inc. ,3222.TSE,Japan,Food Retail,927,5084,128
Ottogi Corporation ,007310.KO,South Korea,Packaged Foods and Meats,927,2553,3
Milbon Co. Ltd. ,4919.TSE,Japan,Personal Care Products,924,321,33
DL E&C Co.Ltd. ,375500.KO,South Korea,Construction and Engineering,924,6018,42
EirGenix Inc. ,6589.TWO,Taiwan,Life Sciences Tools and Services,923,37,305
Ricoh Leasing Company Ltd. ,8566.TSE,Japan,Specialized Finance,922,2075,31
Ardentec Corporation ,3264.TWO,Taiwan,Semiconductors,920,467,474
Evergreen Steel Corp. ,2211.TW,Taiwan,Steel,920,345,417
SK Networks Company Limited ,001740.KO,South Korea,Trading Companies and Distributors,919,7327,204
