symbol,name,country,industry,Market Capitalization,Total Revenue,Shares Outstanding (mm),shares,currency,jakota_indicies,
8358.TWO,Co-Tech Development Corporation,Taiwan,Electronic Components,485,206,253,"252,588,000",TWD,[tech-100],
4147.TWO,TaiMed Biologics Inc.,Taiwan,Biotechnology,694,19,253,"252,935,008",TWD,[],
8368.TSE,The Hyakugo Bank Ltd.,Japan,Regional Banks,951,670,254,"253,582,000",JPY,[],
6448.TSE,Brother Industries Ltd.,Japan,Technology Hardware Storage and Peripherals,4106,5643,256,"255,584,000",JPY,[],
8628.TSE,Matsui Securities Co. Ltd.,Japan,Investment Banking and Brokerage,1428,206,257,"257,204,992",JPY,[],
8908.TWO,ShinHsiung Natural Gas Inc.,Taiwan,Gas Utilities,578,228,284,"257,700,992",TWD,[],
2450.TW,Senao International Co.Ltd.,Taiwan,Computer and Electronics Retail,291,1007,258,"258,252,992",TWD,[consumer-50],
1614.TW,Taiwan Sanyo Electric Co.Ltd.,Taiwan,Household Appliances,302,192,259,"258,931,008",TWD,[],
6366.TSE,Chiyoda Corporation,Japan,Construction and Engineering,671,3346,259,"258,972,000",JPY,[],
1903.TW,Shihlin Paper Corporation,Taiwan,Paper Products,449,5,260,"260,039,008",TWD,[],
5388.TW,Sercomm Corporation,Taiwan,Communications Equipment,999,2182,262,"260,139,008",TWD,[tech-100],
1519.TW,Fortune Electric Co. Ltd.,Taiwan,Electrical Components and Equipment,2197,287,261,"261,059,008",TWD,[],
6841.TSE,Yokogawa Electric Corporation,Japan,Electronic Equipment and Instruments,5052,3328,262,"261,488,992",JPY,[tech-100],
1795.TW,Lotus Pharmaceutical Co. Ltd.,Taiwan,Pharmaceuticals,1941,562,262,"262,040,992",TWD,[],
5110.TSE,Sumitomo Rubber Industries Ltd.,Japan,Tires and Rubber,2954,7938,263,"263,008,000",JPY,[],
3260.TWO,ADATA Technology Co. Ltd.,Taiwan,Semiconductors,691,977,264,"263,464,992",TWD,[],
3086.TSE,J. Front Retailing Co. Ltd.,Japan,Broadline Retail,2716,2657,262,"264,294,000",JPY,[consumer-50],
8213.TW,Taiwan Printed Circuit Board Techvest Co.Ltd.,Taiwan,Electronic Components,381,591,271,"264,352,000",TWD,[tech-100],
3705.TW,YungShin Global Holding Corporation,Taiwan,Pharmaceuticals,364,217,266,"266,364,992",TWD,[],
6790.TW,Yuen Foong Yu Consumer Products Co. Ltd.,Taiwan,Household Products,320,328,267,"267,128,992",TWD,[consumer-50],
6274.TWO,Taiwan Union Technology Corporation,Taiwan,Electronic Components,1137,516,269,"269,152,000",TWD,[tech-100],
4680.TSE,Round One Corporation,Japan,Leisure Facilities,1028,1017,269,"269,265,984",JPY,[consumer-50],
3374.TWO,Xintec Inc.,Taiwan,Semiconductors,990,213,271,"271,364,000",TWD,[],
3006.TW,Elite Semiconductor Microelectronics Tech Inc,Taiwan,Semiconductors,656,381,273,"272,462,016",TWD,[],
1808.TSE,HASEKO Corporation,Japan,Homebuilding,3496,7311,273,"272,511,008",JPY,[],
1476.TW,Eclat Textile Co. Ltd.,Taiwan,Textiles,4150,1048,274,"274,367,008",TWD,[],
3059.TW,Altek Corporation,Taiwan,Consumer Electronics,287,378,277,"274,620,000",TWD,[consumer-50],
9006.TSE,Keikyu Corporation,Japan,Rail Transportation,2349,1767,275,"275,281,984",JPY,[],
5803.TSE,Fujikura Ltd.,Japan,Electrical Components and Equipment,2256,5642,276,"275,801,984",JPY,[],
2548.TW,Huaku Development Co. Ltd.,Taiwan,Real Estate Development,772,271,277,"276,639,008",TWD,[],
3715.TW,Dynamic Holding Co. Ltd.,Taiwan,Electronic Components,723,480,278,"277,518,016",TWD,[tech-100],
6188.TWO,Quanta Storage Inc.,Taiwan,Technology Hardware Storage and Peripherals,718,366,278,"278,359,008",TWD,[],
3019.TW,Asia Optical Co. Inc.,Taiwan,Electronic Components,546,578,279,"279,244,000",TWD,[tech-100],
1536.TW,Hota Industrial Mfg. Co. Ltd.,Taiwan,Automotive Parts and Equipment,555,235,280,"279,518,016",TWD,[],
8163.TW,Darfon Electronics Corp.,Taiwan,Technology Hardware Storage and Peripherals,373,874,278,"280,000,000",TWD,[],
8714.TSE,Senshu Ikeda Holdings Inc.,Japan,Regional Banks,619,603,280,"280,342,016",JPY,[],
5351.TWO,Etron Technology Inc.,Taiwan,Semiconductors,359,95,288,"284,462,016",TWD,[],
2458.TW,ELAN Microelectronics Corporation,Taiwan,Semiconductors,1180,328,285,"284,584,992",TWD,[],
1893.TSE,Penta-Ocean Construction Co. Ltd.,Japan,Construction and Engineering,1709,3612,285,"285,158,016",JPY,[],
4202.TSE,Daicel Corporation,Japan,Diversified Chemicals,2430,3741,286,"285,635,008",JPY,[],
8927.TWO,North-Star International Co. LTD.,Taiwan,Automotive Retail,534,228,291,"287,097,984",TWD,[consumer-50],
5938.TSE,LIXIL Corporation,Japan,Building Products,3375,10339,287,"287,158,016",JPY,[],
073240.KO,Kumho Tire Co. Inc.,South Korea,Tires and Rubber,976,2983,287,"287,260,000",KRW,[],
9939.TW,Taiwan Hon Chuan Enterprise Co. Ltd.,Taiwan,Metal Glass and Plastic Containers,943,828,288,"287,785,984",TWD,[],
3016.TW,Episil-Precision Inc.,Taiwan,Semiconductors,511,163,289,"288,539,008",TWD,[],
6023.TWO,Yuanta Futures Co. Ltd.,Taiwan,Investment Banking and Brokerage,526,106,290,"289,976,000",TWD,[],
5534.TW,Chong Hong Construction Co. Ltd.,Taiwan,Diversified Real Estate Activities,668,153,290,"290,326,016",TWD,[],
9412.TSE,SKY Perfect JSAT Holdings Inc.,Japan,Cable and Satellite,1367,846,289,"290,644,992",JPY,[],
3315.TSE,Nippon Coke & Engineering Company Limited,Japan,Coal and Consumable Fuels,246,1176,291,"291,025,984",JPY,[],
8076.TWO,Firich Enterprises Co. Ltd.,Taiwan,Electronic Equipment and Instruments,295,82,305,"292,214,016",TWD,[tech-100],
6278.TW,Taiwan Surface Mounting Technology Corp.,Taiwan,Electronic Components,835,1814,292,"292,398,016",TWD,[tech-100],
8464.TW,Nien Made Enterprise Co. LTD.,Taiwan,Home Furnishings,2821,851,293,"293,020,000",TWD,[],
1215.TW,Charoen Pokphand Enterprise (Taiwan) Co. Ltd.,Taiwan,Packaged Foods and Meats,862,949,295,"294,791,008",TWD,[],
5007.TW,San Shing Fastech Corp.,Taiwan,Industrial Machinery and Supplies and Components,503,213,295,"294,940,000",TWD,[],
2402.TW,Ichia Technologies Inc.,Taiwan,Electronic Components,372,264,298,"297,536,000",TWD,[tech-100],
9938.TW,Taiwan Paiho Limited,Taiwan,Textiles,502,407,298,"297,964,000",TWD,[],
1419.TW,Shinkong Textile Co. Ltd.,Taiwan,Textiles,398,109,299,"299,236,992",TWD,[],
